company,founding_date,date_basis,source,confidence,notes
1stdibs (NAS: DIBS),2000-03-10,legal_incorporation,SEC filing,HIGH,Incorporated March 10 2000; appears to reflect original operating company age
23andMe Holding,2006,operating_founding,SEC filing / company materials,MEDIUM_HIGH,Quick pass confirmed year but not exact day
SentinelOne (NYS: S),2013-01,legal_incorporation,SEC filing,HIGH,SEC materials state incorporation in January 2013; appears to reflect original operating company age
Rubrik (NYS: RBRK),2013-12,legal_incorporation,SEC filing,HIGH,SEC materials state incorporation in December 2013; official company history says founded in 2014
Figma (NYS: FIG),2012-10-19,legal_incorporation,SEC filing,HIGH,Originally incorporated on October 19 2012; appears to reflect original operating company age
21seeds,2019,operating_founding,Official site heuristic,MEDIUM,Extracted from site text: founded in 2019; Source URL: https://www.diageo.com/en/news-and-media/press-releases/2022/diageo-acquires-female-owned-super-premium-flavoured-tequila-brand-21seeds
24Storage,2015,operating_founding,Official site heuristic,MEDIUM,Extracted from site text: founded in 2015; Source URL: https://dev.swfinstitute.org/profile/5e39a484fcbe7e8ca71a8b8d
Amylyx Pharmaceuticals (NAS: AMLX),2013,operating_founding,Wikidata,HIGH,"hq=united states; aliases=Amylyx Pharmaceuticals, Inc.; desc=American biopharmaceutical company"
Apollomics (NAS: APLM),2015-05,operating_founding,SEC filing,MEDIUM,Extracted from filing text: founded in May 2015; Source URL: https://www.sec.gov/Archives/edgar/data/1944885/000095017025050531/aplm-20241231.htm
AVAX One Technology (NAS: AVX),2021-11,operating_founding,SEC filing,MEDIUM,Extracted from filing text: founded in November 2021; Source URL: https://www.sec.gov/Archives/edgar/data/1826397/000149315226014138/form10-k.htm
Azerion Group (AMS: AZRN),2013,operating_founding,Wikidata,HIGH,hq=netherlands; aliases=Azerion Group N.V.|OrangeGames; desc=Dutch video game company
Bakkt Holdings (NYS: BKKT),2018,operating_founding,Wikidata,HIGH,"hq=united states; aliases=Bakkt Holdings, Inc|BKKT; desc=Spot market for crypto currency and derivatives"
Bossa Studios,2010-10,operating_founding,Wikidata,HIGH,"hq=united kingdom; aliases=Bossa Studios Ltd.; desc=video game developer and publisher based in London, UK"
Caribou Biosciences (NAS: CRBU),2011,operating_founding,Wikidata,HIGH,"hq=united states; aliases=Caribou Biosciences, Inc.; desc=company in Berkeley, United States"
Codecademy,2011,operating_founding,Wikidata,HIGH,"hq=united states; aliases=codecademy.com|Codecademy, Inc.; desc=online code-learning platform"
Cyngn (NAS: CYN),2012,operating_founding,Wikidata,HIGH,hq=united states; aliases=Cyanogen Inc|Cyngn
